"county","votes","type","name","race"
"Fulton","477","Election Day","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Cobb","1183","Absentee by Mail","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Fulton","56","Absentee by Mail","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Cobb","3633","Advance in Person","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Fulton","574","Advance in Person","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Cobb","24","Provisional","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Fulton","0","Provisional","MATT DOLLAR (I) (REP)","State Representative, District 45"
"Cobb","5482","Election Day","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Fulton","744","Election Day","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Cobb","1464","Absentee by Mail","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Fulton","125","Absentee by Mail","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Cobb","2604","Advance in Person","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Fulton","1238","Advance in Person","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Cobb","24","Provisional","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Fulton","0","Provisional","ESSENCE JOHNSON  (DEM)","State Representative, District 45"
"Cherokee","3148","Election Day","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cobb","8072","Election Day","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cherokee","346","Absentee by Mail","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cobb","736","Absentee by Mail","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cherokee","2293","Advance in Person","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cobb","2857","Advance in Person","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cherokee","0","Provisional","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cobb","14","Provisional","JOHN CARSON (I) (REP)","State Representative, District 46"
"Cherokee","1614","Election Day","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cobb","4555","Election Day","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cherokee","275","Absentee by Mail","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cobb","870","Absentee by Mail","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cherokee","1192","Advance in Person","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cobb","2258","Advance in Person","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cherokee","1","Provisional","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Cobb","24","Provisional","KARÍN SANDIFORD  (DEM)","State Representative, District 46"
"Fulton","6922","Election Day","JAN JONES (I) (REP)","State Representative, District 47"
"Fulton","576","Absentee by Mail","JAN JONES (I) (REP)","State Representative, District 47"
"Fulton","9217","Advance in Person","JAN JONES (I) (REP)","State Representative, District 47"
"Fulton","3","Provisional","JAN JONES (I) (REP)","State Representative, District 47"
"Fulton","3669","Election Day","ANDREA NUGENT  (DEM)","State Representative, District 47"
"Fulton","688","Absentee by Mail","ANDREA NUGENT  (DEM)","State Representative, District 47"
"Fulton","6046","Advance in Person","ANDREA NUGENT  (DEM)","State Representative, District 47"
"Fulton","0","Provisional","ANDREA NUGENT  (DEM)","State Representative, District 47"
"Fulton","5503","Election Day","BETTY PRICE (I) (REP)","State Representative, District 48"
"Fulton","498","Absentee by Mail","BETTY PRICE (I) (REP)","State Representative, District 48"
"Fulton","4946","Advance in Person","BETTY PRICE (I) (REP)","State Representative, District 48"
"Fulton","5","Provisional","BETTY PRICE (I) (REP)","State Representative, District 48"
"Fulton","4769","Election Day","MARY ROBICHAUX  (DEM)","State Representative, District 48"
"Fulton","656","Absentee by Mail","MARY ROBICHAUX  (DEM)","State Representative, District 48"
"Fulton","5663","Advance in Person","MARY ROBICHAUX  (DEM)","State Representative, District 48"
"Fulton","14","Provisional","MARY ROBICHAUX  (DEM)","State Representative, District 48"
"Fulton","5125","Election Day","CHARLES E. ""CHUCK"" MARTIN (I) (REP)","State Representative, District 49"
"Fulton","499","Absentee by Mail","CHARLES E. ""CHUCK"" MARTIN (I) (REP)","State Representative, District 49"
"Fulton","7694","Advance in Person","CHARLES E. ""CHUCK"" MARTIN (I) (REP)","State Representative, District 49"
"Fulton","16","Provisional","CHARLES E. ""CHUCK"" MARTIN (I) (REP)","State Representative, District 49"
"Fulton","3966","Election Day","KRISHAN A. BRALLEY  (DEM)","State Representative, District 49"
"Fulton","671","Absentee by Mail","KRISHAN A. BRALLEY  (DEM)","State Representative, District 49"
"Fulton","6611","Advance in Person","KRISHAN A. BRALLEY  (DEM)","State Representative, District 49"
"Fulton","20","Provisional","KRISHAN A. BRALLEY  (DEM)","State Representative, District 49"
"Fulton","4366","Election Day","KELLY STEWART  (REP)","State Representative, District 50"
"Fulton","442","Absentee by Mail","KELLY STEWART  (REP)","State Representative, District 50"
"Fulton","5886","Advance in Person","KELLY STEWART  (REP)","State Representative, District 50"
"Fulton","4","Provisional","KELLY STEWART  (REP)","State Representative, District 50"
"Fulton","3999","Election Day","ANGELIKA KAUSCHE  (DEM)","State Representative, District 50"
"Fulton","790","Absentee by Mail","ANGELIKA KAUSCHE  (DEM)","State Representative, District 50"
"Fulton","6221","Advance in Person","ANGELIKA KAUSCHE  (DEM)","State Representative, District 50"
"Fulton","5","Provisional","ANGELIKA KAUSCHE  (DEM)","State Representative, District 50"
"Fulton","4373","Election Day","ALEX B. KAUFMAN  (REP)","State Representative, District 51"
"Fulton","443","Absentee by Mail","ALEX B. KAUFMAN  (REP)","State Representative, District 51"
"Fulton","6937","Advance in Person","ALEX B. KAUFMAN  (REP)","State Representative, District 51"
"Fulton","14","Provisional","ALEX B. KAUFMAN  (REP)","State Representative, District 51"
"Fulton","4187","Election Day","JOSH MCLAURIN  (DEM)","State Representative, District 51"
"Fulton","683","Absentee by Mail","JOSH MCLAURIN  (DEM)","State Representative, District 51"
"Fulton","7639","Advance in Person","JOSH MCLAURIN  (DEM)","State Representative, District 51"
"Fulton","22","Provisional","JOSH MCLAURIN  (DEM)","State Representative, District 51"
"Fulton","5916","Election Day","DEBORAH SILCOX (I) (REP)","State Representative, District 52"
"Fulton","669","Absentee by Mail","DEBORAH SILCOX (I) (REP)","State Representative, District 52"
"Fulton","7431","Advance in Person","DEBORAH SILCOX (I) (REP)","State Representative, District 52"
"Fulton","2","Provisional","DEBORAH SILCOX (I) (REP)","State Representative, District 52"
"Fulton","4378","Election Day","SHEA ROBERTS  (DEM)","State Representative, District 52"
"Fulton","921","Absentee by Mail","SHEA ROBERTS  (DEM)","State Representative, District 52"
"Fulton","7491","Advance in Person","SHEA ROBERTS  (DEM)","State Representative, District 52"
"Fulton","6","Provisional","SHEA ROBERTS  (DEM)","State Representative, District 52"
"Cobb","2248","Election Day","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Fulton","6861","Election Day","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Cobb","413","Absentee by Mail","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Fulton","527","Absentee by Mail","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Cobb","2078","Advance in Person","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Fulton","7839","Advance in Person","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Cobb","20","Provisional","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Fulton","46","Provisional","SHEILA JONES (I) (DEM)","State Representative, District 53"
"Fulton","6297","Election Day","BETH BESKIN (I) (REP)","State Representative, District 54"
"Fulton","678","Absentee by Mail","BETH BESKIN (I) (REP)","State Representative, District 54"
"Fulton","7191","Advance in Person","BETH BESKIN (I) (REP)","State Representative, District 54"
"Fulton","13","Provisional","BETH BESKIN (I) (REP)","State Representative, District 54"
"Fulton","5493","Election Day","BETSY HOLLAND  (DEM)","State Representative, District 54"
"Fulton","987","Absentee by Mail","BETSY HOLLAND  (DEM)","State Representative, District 54"
"Fulton","8692","Advance in Person","BETSY HOLLAND  (DEM)","State Representative, District 54"
"Fulton","14","Provisional","BETSY HOLLAND  (DEM)","State Representative, District 54"
"Fulton","9440","Election Day","MARIE R. METZE (I) (DEM)","State Representative, District 55"
"Fulton","871","Absentee by Mail","MARIE R. METZE (I) (DEM)","State Representative, District 55"
"Fulton","12985","Advance in Person","MARIE R. METZE (I) (DEM)","State Representative, District 55"
"Fulton","14","Provisional","MARIE R. METZE (I) (DEM)","State Representative, District 55"
"Fulton","8987","Election Day","""ABLE"" MABLE THOMAS (I) (DEM)","State Representative, District 56"
"Fulton","561","Absentee by Mail","""ABLE"" MABLE THOMAS (I) (DEM)","State Representative, District 56"
"Fulton","6693","Advance in Person","""ABLE"" MABLE THOMAS (I) (DEM)","State Representative, District 56"
"Fulton","70","Provisional","""ABLE"" MABLE THOMAS (I) (DEM)","State Representative, District 56"
"Fulton","11844","Election Day","PAT GARDNER (I) (DEM)","State Representative, District 57"
"Fulton","1016","Absentee by Mail","PAT GARDNER (I) (DEM)","State Representative, District 57"
"Fulton","11776","Advance in Person","PAT GARDNER (I) (DEM)","State Representative, District 57"
"Fulton","250","Provisional","PAT GARDNER (I) (DEM)","State Representative, District 57"
"Fulton","11448","Election Day","PARK CANNON (I) (DEM)","State Representative, District 58"
"Fulton","817","Absentee by Mail","PARK CANNON (I) (DEM)","State Representative, District 58"
"Fulton","11341","Advance in Person","PARK CANNON (I) (DEM)","State Representative, District 58"
"Fulton","57","Provisional","PARK CANNON (I) (DEM)","State Representative, District 58"
"Fulton","10959","Election Day","DAVID DREYER (I) (DEM)","State Representative, District 59"
"Fulton","588","Absentee by Mail","DAVID DREYER (I) (DEM)","State Representative, District 59"
"Fulton","9076","Advance in Person","DAVID DREYER (I) (DEM)","State Representative, District 59"
"Fulton","104","Provisional","DAVID DREYER (I) (DEM)","State Representative, District 59"
"Clayton","2155","Election Day","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Fulton","6231","Election Day","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Clayton","262","Absentee by Mail","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Fulton","372","Absentee by Mail","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Clayton","1555","Advance in Person","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Fulton","5517","Advance in Person","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Clayton","11","Provisional","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Fulton","5","Provisional","KIM SCHOFIELD (I) (DEM)","State Representative, District 60"
"Cobb","1062","Election Day","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Douglas","2836","Election Day","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Fulton","3604","Election Day","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Cobb","128","Absentee by Mail","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Douglas","408","Absentee by Mail","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Fulton","331","Absentee by Mail","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Cobb","765","Advance in Person","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Douglas","3226","Advance in Person","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Fulton","7654","Advance in Person","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Cobb","7","Provisional","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Douglas","10","Provisional","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Fulton","12","Provisional","ROGER BRUCE (I) (DEM)","State Representative, District 61"
"Douglas","2331","Election Day","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Fulton","5289","Election Day","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Douglas","349","Absentee by Mail","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Fulton","369","Absentee by Mail","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Douglas","3840","Advance in Person","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Fulton","11763","Advance in Person","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Douglas","0","Provisional","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Fulton","18","Provisional","WILLIAM K. BODDIE JR (I) (DEM)","State Representative, District 62"
"Clayton","1153","Election Day","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fayette","4038","Election Day","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fulton","3825","Election Day","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Clayton","237","Absentee by Mail","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fayette","541","Absentee by Mail","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fulton","186","Absentee by Mail","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Clayton","1841","Advance in Person","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fayette","4939","Advance in Person","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fulton","4061","Advance in Person","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Clayton","2","Provisional","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fayette","11","Provisional","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fulton","38","Provisional","DEBRA BAZEMORE (I) (DEM)","State Representative, District 63"
"Fayette","3226","Election Day","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fulton","5064","Election Day","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fayette","445","Absentee by Mail","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fulton","321","Absentee by Mail","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fayette","5048","Advance in Person","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fulton","7047","Advance in Person","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fayette","5","Provisional","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Fulton","1","Provisional","DERRICK L. JACKSON (I) (DEM)","State Representative, District 64"
"Douglas","947","Election Day","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Fulton","7493","Election Day","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Douglas","186","Absentee by Mail","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Fulton","434","Absentee by Mail","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Douglas","1680","Advance in Person","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Fulton","10403","Advance in Person","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Douglas","1","Provisional","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Fulton","45","Provisional","SHARON BEASLEY-TEAGUE (I) (DEM)","State Representative, District 65"
"Douglas","5511","Election Day","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Paulding","1466","Election Day","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Douglas","947","Absentee by Mail","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Paulding","203","Absentee by Mail","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Douglas","7384","Advance in Person","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Paulding","1911","Advance in Person","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Douglas","8","Provisional","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Paulding","4","Provisional","KIMBERLY ALEXANDER (I) (DEM)","State Representative, District 66"
"Douglas","4436","Election Day","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Paulding","3177","Election Day","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Douglas","500","Absentee by Mail","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Paulding","282","Absentee by Mail","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Douglas","5095","Advance in Person","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Paulding","3527","Advance in Person","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Douglas","5","Provisional","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Paulding","7","Provisional","MICAH GRAVLEY (I) (REP)","State Representative, District 67"
"Carroll","7599","Election Day","J. COLLINS (I) (REP)","State Representative, District 68"
"Douglas","836","Election Day","J. COLLINS (I) (REP)","State Representative, District 68"
"Carroll","533","Absentee by Mail","J. COLLINS (I) (REP)","State Representative, District 68"
"Douglas","71","Absentee by Mail","J. COLLINS (I) (REP)","State Representative, District 68"
"Carroll","7457","Advance in Person","J. COLLINS (I) (REP)","State Representative, District 68"
"Douglas","1629","Advance in Person","J. COLLINS (I) (REP)","State Representative, District 68"
"Carroll","21","Provisional","J. COLLINS (I) (REP)","State Representative, District 68"
"Douglas","0","Provisional","J. COLLINS (I) (REP)","State Representative, District 68"
"Carroll","5273","Election Day","RANDY NIX (I) (REP)","State Representative, District 69"
"Heard","2078","Election Day","RANDY NIX (I) (REP)","State Representative, District 69"
"Troup","2038","Election Day","RANDY NIX (I) (REP)","State Representative, District 69"
"Carroll","284","Absentee by Mail","RANDY NIX (I) (REP)","State Representative, District 69"
"Heard","206","Absentee by Mail","RANDY NIX (I) (REP)","State Representative, District 69"
"Troup","164","Absentee by Mail","RANDY NIX (I) (REP)","State Representative, District 69"
"Carroll","4334","Advance in Person","RANDY NIX (I) (REP)","State Representative, District 69"
"Heard","1235","Advance in Person","RANDY NIX (I) (REP)","State Representative, District 69"
"Troup","2419","Advance in Person","RANDY NIX (I) (REP)","State Representative, District 69"
"Carroll","8","Provisional","RANDY NIX (I) (REP)","State Representative, District 69"
"Heard","4","Provisional","RANDY NIX (I) (REP)","State Representative, District 69"
"Troup","20","Provisional","RANDY NIX (I) (REP)","State Representative, District 69"
"Carroll","665","Election Day","LYNN SMITH (I) (REP)","State Representative, District 70"
"Coweta","9303","Election Day","LYNN SMITH (I) (REP)","State Representative, District 70"
"Carroll","29","Absentee by Mail","LYNN SMITH (I) (REP)","State Representative, District 70"
"Coweta","840","Absentee by Mail","LYNN SMITH (I) (REP)","State Representative, District 70"
"Carroll","330","Advance in Person","LYNN SMITH (I) (REP)","State Representative, District 70"
"Coweta","7299","Advance in Person","LYNN SMITH (I) (REP)","State Representative, District 70"
"Carroll","1","Provisional","LYNN SMITH (I) (REP)","State Representative, District 70"
"Coweta","6","Provisional","LYNN SMITH (I) (REP)","State Representative, District 70"
"Coweta","9022","Election Day","DAVID STOVER (I) (REP)","State Representative, District 71"
"Fayette","482","Election Day","DAVID STOVER (I) (REP)","State Representative, District 71"
"Coweta","621","Absentee by Mail","DAVID STOVER (I) (REP)","State Representative, District 71"
"Fayette","28","Absentee by Mail","DAVID STOVER (I) (REP)","State Representative, District 71"
"Coweta","8847","Advance in Person","DAVID STOVER (I) (REP)","State Representative, District 71"
"Fayette","689","Advance in Person","DAVID STOVER (I) (REP)","State Representative, District 71"
"Coweta","1","Provisional","DAVID STOVER (I) (REP)","State Representative, District 71"
"Fayette","0","Provisional","DAVID STOVER (I) (REP)","State Representative, District 71"
"Coweta","2438","Election Day","TOM THOMASON  (DEM)","State Representative, District 71"
"Fayette","363","Election Day","TOM THOMASON  (DEM)","State Representative, District 71"
"Coweta","411","Absentee by Mail","TOM THOMASON  (DEM)","State Representative, District 71"
"Fayette","52","Absentee by Mail","TOM THOMASON  (DEM)","State Representative, District 71"
"Coweta","2996","Advance in Person","TOM THOMASON  (DEM)","State Representative, District 71"
"Fayette","504","Advance in Person","TOM THOMASON  (DEM)","State Representative, District 71"
"Coweta","1","Provisional","TOM THOMASON  (DEM)","State Representative, District 71"
"Fayette","0","Provisional","TOM THOMASON  (DEM)","State Representative, District 71"
"Coweta","2936","Election Day","JOSH BONNER (I) (REP)","State Representative, District 72"
"Fayette","8262","Election Day","JOSH BONNER (I) (REP)","State Representative, District 72"
"Coweta","176","Absentee by Mail","JOSH BONNER (I) (REP)","State Representative, District 72"
"Fayette","676","Absentee by Mail","JOSH BONNER (I) (REP)","State Representative, District 72"
"Coweta","1977","Advance in Person","JOSH BONNER (I) (REP)","State Representative, District 72"
"Fayette","10398","Advance in Person","JOSH BONNER (I) (REP)","State Representative, District 72"
"Coweta","1","Provisional","JOSH BONNER (I) (REP)","State Representative, District 72"
"Fayette","3","Provisional","JOSH BONNER (I) (REP)","State Representative, District 72"
"Fayette","2689","Election Day","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Henry","1695","Election Day","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Spalding","3545","Election Day","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Fayette","184","Absentee by Mail","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Henry","222","Absentee by Mail","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Spalding","290","Absentee by Mail","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Fayette","1863","Advance in Person","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Henry","3179","Advance in Person","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Spalding","3537","Advance in Person","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Fayette","1","Provisional","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Henry","0","Provisional","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Spalding","5","Provisional","KAREN MATHIAK (I) (REP)","State Representative, District 73"
"Clayton","6536","Election Day","VALENCIA STOVALL (I) (DEM)","State Representative, District 74"
"Clayton","918","Absentee by Mail","VALENCIA STOVALL (I) (DEM)","State Representative, District 74"
"Clayton","7046","Advance in Person","VALENCIA STOVALL (I) (DEM)","State Representative, District 74"
"Clayton","33","Provisional","VALENCIA STOVALL (I) (DEM)","State Representative, District 74"
"Clayton","7438","Election Day","MIKE GLANTON (I) (DEM)","State Representative, District 75"
"Clayton","1101","Absentee by Mail","MIKE GLANTON (I) (DEM)","State Representative, District 75"
"Clayton","9247","Advance in Person","MIKE GLANTON (I) (DEM)","State Representative, District 75"
"Clayton","31","Provisional","MIKE GLANTON (I) (DEM)","State Representative, District 75"
"Clayton","4713","Election Day","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Henry","2136","Election Day","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Clayton","790","Absentee by Mail","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Henry","418","Absentee by Mail","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Clayton","7551","Advance in Person","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Henry","4687","Advance in Person","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Clayton","53","Provisional","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Henry","2","Provisional","SANDRA GIVENS SCOTT (I) (DEM)","State Representative, District 76"
"Clayton","7097","Election Day","RHONDA BURNOUGH (I) (DEM)","State Representative, District 77"
"Clayton","1052","Absentee by Mail","RHONDA BURNOUGH (I) (DEM)","State Representative, District 77"
"Clayton","7298","Advance in Person","RHONDA BURNOUGH (I) (DEM)","State Representative, District 77"
"Clayton","33","Provisional","RHONDA BURNOUGH (I) (DEM)","State Representative, District 77"
"Clayton","5382","Election Day","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Henry","1812","Election Day","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Clayton","833","Absentee by Mail","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Henry","249","Absentee by Mail","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Clayton","8199","Advance in Person","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Henry","2841","Advance in Person","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Clayton","29","Provisional","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"Henry","2","Provisional","DEMETRIUS DOUGLAS (I) (DEM)","State Representative, District 78"
"DeKalb","4760","Election Day","KEN WRIGHT  (REP)","State Representative, District 79"
"DeKalb","480","Absentee by Mail","KEN WRIGHT  (REP)","State Representative, District 79"
"DeKalb","5416","Advance in Person","KEN WRIGHT  (REP)","State Representative, District 79"
"DeKalb","14","Provisional","KEN WRIGHT  (REP)","State Representative, District 79"
"DeKalb","4503","Election Day","MICHAEL S. WILENSKY  (DEM)","State Representative, District 79"
"DeKalb","910","Absentee by Mail","MICHAEL S. WILENSKY  (DEM)","State Representative, District 79"
"DeKalb","7009","Advance in Person","MICHAEL S. WILENSKY  (DEM)","State Representative, District 79"
"DeKalb","19","Provisional","MICHAEL S. WILENSKY  (DEM)","State Representative, District 79"
"DeKalb","4648","Election Day","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"Fulton","1458","Election Day","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"DeKalb","366","Absentee by Mail","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"Fulton","185","Absentee by Mail","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"DeKalb","3257","Advance in Person","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"Fulton","1450","Advance in Person","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"DeKalb","21","Provisional","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"Fulton","4","Provisional","MEAGAN HANSON (I) (REP)","State Representative, District 80"
"DeKalb","3748","Election Day","MATTHEW WILSON  (DEM)","State Representative, District 80"
"Fulton","1226","Election Day","MATTHEW WILSON  (DEM)","State Representative, District 80"
"DeKalb","744","Absentee by Mail","MATTHEW WILSON  (DEM)","State Representative, District 80"
"Fulton","276","Absentee by Mail","MATTHEW WILSON  (DEM)","State Representative, District 80"
"DeKalb","4822","Advance in Person","MATTHEW WILSON  (DEM)","State Representative, District 80"
"Fulton","1736","Advance in Person","MATTHEW WILSON  (DEM)","State Representative, District 80"
"DeKalb","21","Provisional","MATTHEW WILSON  (DEM)","State Representative, District 80"
"Fulton","5","Provisional","MATTHEW WILSON  (DEM)","State Representative, District 80"
"DeKalb","3451","Election Day","ELLEN DIEHL  (REP)","State Representative, District 81"
"Gwinnett","177","Election Day","ELLEN DIEHL  (REP)","State Representative, District 81"
"DeKalb","295","Absentee by Mail","ELLEN DIEHL  (REP)","State Representative, District 81"
"Gwinnett","24","Absentee by Mail","ELLEN DIEHL  (REP)","State Representative, District 81"
"DeKalb","2293","Advance in Person","ELLEN DIEHL  (REP)","State Representative, District 81"
"Gwinnett","91","Advance in Person","ELLEN DIEHL  (REP)","State Representative, District 81"
"DeKalb","3","Provisional","ELLEN DIEHL  (REP)","State Representative, District 81"
"Gwinnett","0","Provisional","ELLEN DIEHL  (REP)","State Representative, District 81"
"DeKalb","4861","Election Day","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"Gwinnett","451","Election Day","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"DeKalb","753","Absentee by Mail","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"Gwinnett","67","Absentee by Mail","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"DeKalb","4902","Advance in Person","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"Gwinnett","264","Advance in Person","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"DeKalb","6","Provisional","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
"Gwinnett","0","Provisional","SCOTT HOLCOMB (I) (DEM)","State Representative, District 81"
